Codigo,Provincia,menores_14 ,porcen_menores_14,adultos_entre_15-64,p_adultos_entre_15-64,mayores_65,p_mayores_65,Total
1603,"Loreto, provincia: Loreto",29729.00,0.43,35745.00,0.52,3207.00,0.05,68681.00
1604,"Loreto, provincia: Mariscal Ramón Castilla",24595.00,0.43,30286.00,0.53,2486.00,0.04,57366.00
1605,"Loreto, provincia: Requena",27364.00,0.43,32700.00,0.51,3651.00,0.06,63714.00
1606,"Loreto, provincia: Ucayali",26011.00,0.42,32337.00,0.53,3016.00,0.05,61364.00
1607,"Loreto, provincia: Datem del Marañón",26056.00,0.46,29334.00,0.52,1307.00,0.02,56698.00
1608,"Loreto, provincia: Putumayo",3530.00,0.39,5167.00,0.57,396.00,0.04,9093.00
1701,Madre de Dios prov. de Tambopata,39615.00,0.31,83384.00,0.65,4512.00,0.04,127511.00
1702,Madre de Dios prov. de Manu,6777.00,0.32,14077.00,0.66,528.00,0.02,21383.00
1703,Madre de Dios prov. de Tahuamanu,3687.00,0.30,8095.00,0.66,528.00,0.04,12310.00
1801,"Moquegua, provincia: Mariscal Nieto",20372.00,0.23,60879.00,0.69,7595.00,0.09,88847.00
1802,"Moquegua, provincia: General Sánchez Cerro",3247.00,0.20,10001.00,0.62,2764.00,0.17,16012.00
1803,"Moquegua, provincia: Ilo",18797.00,0.24,52072.00,0.67,6288.00,0.08,77158.00
1901,"Pasco, provincia: Pasco",36164.00,0.28,86171.00,0.66,7344.00,0.06,129680.00
1902,"Pasco, provincia: Daniel Alcides Carrión",9803.00,0.21,32255.00,0.70,4229.00,0.09,46287.00
1903,"Pasco, provincia: Oxapampa",31640.00,0.33,58134.00,0.60,6395.00,0.07,96169.00
2001,"Piura, provincia: Piura",237787.00,0.29,533514.00,0.64,57042.00,0.07,828343.00
2002,"Piura, provincia: Ayabaca",46130.00,0.36,70072.00,0.55,11531.00,0.09,127735.00
2003,"Piura, provincia: Huancabamba",39869.00,0.34,66807.00,0.57,11071.00,0.09,117747.00
2004,"Piura, provincia: Morropón",48790.00,0.29,101594.00,0.61,17076.00,0.10,167461.00
2005,"Piura, provincia: Paita",43516.00,0.32,84926.00,0.62,8266.00,0.06,136708.00
2006,"Piura, provincia: Sullana",91569.00,0.28,208018.00,0.64,24530.00,0.08,324116.00
2007,"Piura, provincia: Talara",41207.00,0.28,94306.00,0.64,10735.00,0.07,146248.00
2008,"Piura, provincia: Sechura",29582.00,0.36,48149.00,0.59,3882.00,0.05,81612.00
2101,"Puno, provincia: Puno",52766.00,0.23,151195.00,0.66,23704.00,0.10,227665.00
2102,"Puno, provincia: Azángaro",31708.00,0.27,71310.00,0.62,12654.00,0.11,115672.00
2103,"Puno, provincia: Carabaya",22536.00,0.29,50212.00,0.65,4308.00,0.06,77055.00
2104,"Puno, provincia: Chucuito",21475.00,0.23,61392.00,0.65,11156.00,0.12,94023.00
2105,"Puno, provincia: El Collao",14558.00,0.21,44871.00,0.66,8973.00,0.13,68402.00
2106,"Puno, provincia: Huancané",13316.00,0.22,36928.00,0.61,10133.00,0.17,60379.00
2107,"Puno, provincia: Lampa",10855.00,0.25,27847.00,0.64,4506.00,0.10,43207.00
2108,"Puno, provincia: Melgar",18812.00,0.27,44524.00,0.64,6649.00,0.10,69984.00
2109,"Puno, provincia: Moho",4179.00,0.20,12015.00,0.59,4318.00,0.21,20510.00
2110,"Puno, provincia: San Antonio de Putina",8522.00,0.23,26360.00,0.71,2282.00,0.06,37163.00
2111,"Puno, provincia: San Román",85689.00,0.27,217457.00,0.68,14365.00,0.05,317510.00
2112,"Puno, provincia: Sandia",14476.00,0.26,37924.00,0.67,4320.00,0.08,56720.00
2113,"Puno, provincia: Yunguyo",8011.00,0.21,24519.00,0.63,6115.00,0.16,38646.00
2201,"San Martín, provincia: Moyobamba",41220.00,0.32,81018.00,0.62,7673.00,0.06,129909.00
2202,"San Martín, provincia: Bellavista",20100.00,0.34,35166.00,0.60,3106.00,0.05,58370.00
2203,"San Martín, provincia: El Dorado",14513.00,0.35,24060.00,0.59,2346.00,0.06,40917.00
2204,"San Martín, provincia: Huallaga",9196.00,0.32,17630.00,0.61,2048.00,0.07,28871.00
2205,"San Martín, provincia: Lamas",28674.00,0.33,51990.00,0.60,6082.00,0.07,86748.00
2206,"San Martín, provincia: Mariscal Cáceres",22489.00,0.33,41741.00,0.61,3764.00,0.06,67993.00
2207,"San Martín, provincia: Picota",14160.00,0.33,25750.00,0.60,2803.00,0.07,42712.00
2208,"San Martín, provincia: Rioja",42049.00,0.33,76994.00,0.61,6869.00,0.05,125913.00
2209,"San Martín, provincia: San Martín",55772.00,0.27,136376.00,0.66,13212.00,0.06,205362.00
2210,"San Martín, provincia: Tocache",23393.00,0.31,48491.00,0.64,3782.00,0.05,75664.00
2301,"Tacna, provincia: Tacna",75955.00,0.23,226380.00,0.70,22082.00,0.07,324419.00
2302,"Tacna, provincia: Candarave",1253.00,0.19,4248.00,0.66,947.00,0.15,6450.00
2303,"Tacna, provincia: Jorge Basadre",2588.00,0.22,8520.00,0.72,699.00,0.06,11808.00
2304,"Tacna, provincia: Tarata",1117.00,0.18,4293.00,0.67,969.00,0.15,6379.00
2401,"Tumbes, provincia: Tumbes",45850.00,0.28,104694.00,0.65,10827.00,0.07,161369.00
2402,"Tumbes, provincia: Contralmirante Villar",6345.00,0.29,14028.00,0.64,1534.00,0.07,21906.00
2403,"Tumbes, provincia: Zarumilla",16683.00,0.32,32284.00,0.63,2456.00,0.05,51423.00
2501,"Ucayali, provincia: Coronel Portillo",139696.00,0.33,255274.00,0.61,23085.00,0.06,418055.00
2502,"Ucayali, provincia: Atalaya",25299.00,0.44,30726.00,0.53,1568.00,0.03,57591.00
2503,"Ucayali, provincia: Padre Abad",24883.00,0.36,42625.00,0.61,2498.00,0.04,70006.00
2504,"Ucayali, provincia: Purús",1353.00,0.40,1872.00,0.56,120.00,0.04,3346.00
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
