Ubigeo,REGION,Provincia,Cant_CCPP,IDH_2019,pobreza,%_pobreza,pobre_ext,%pobre_ext,,,,
080800,CUSCO,ESPINAR,"1,397.00",0.46,"20,840.97",30.93,"3,499.92",5.19,,,,
080900,CUSCO,LA CONVENCIÓN,"1,380.00",0.45,"54,648.56",25.37,"7,180.10",3.33,,,,
081000,CUSCO,PARURO,412.00,0.25,"14,013.39",42.06,"4,525.68",13.58,,,,
081100,CUSCO,PAUCARTAMBO,504.00,0.24,"25,038.33",46.89,"11,075.12",20.74,,,,
081200,CUSCO,QUISPICANCHI,862.00,0.35,"43,125.92",41.34,"15,280.91",14.65,,,,
081300,CUSCO,URUBAMBA,316.00,0.54,"18,718.33",24.59,"1,721.07",2.26,,,,
090200,HUANCAVELICA,ACOBAMBA,384.00,0.31,"20,007.59",41.08,"7,654.77",15.72,,,,
090300,HUANCAVELICA,ANGARAES,594.00,0.33,"27,490.43",47.59,"9,586.25",16.59,,,,
090400,HUANCAVELICA,CASTROVIRREYNA,"1,535.00",0.40,"6,917.69",33.93,"2,907.32",14.26,,,,
090500,HUANCAVELICA,CHURCAMPA,511.00,0.32,"16,313.79",40.31,"8,795.26",21.73,,,,
090100,HUANCAVELICA,HUANCAVELICA,"1,208.00",0.43,"46,952.81",33.70,"14,666.45",10.53,,,,
090600,HUANCAVELICA,HUAYTARÁ,"1,601.00",0.40,"7,030.05",28.69,"5,154.47",21.04,,,,
090700,HUANCAVELICA,TAYACAJA,869.00,0.36,"45,143.61",43.64,"18,247.89",17.64,,,,
100200,HUANUCO,AMBO,707.00,0.38,"21,041.85",34.00,"14,066.59",22.73,,,,
100300,HUANUCO,DOS DE MAYO,773.00,0.39,"16,495.51",39.41,"8,586.53",20.52,,,,
100400,HUANUCO,HUACAYBAMBA,223.00,0.32,"10,332.41",53.20,"6,406.48",32.99,,,,
100500,HUANUCO,HUAMALÍES,800.00,0.38,"25,179.69",39.27,"12,134.25",18.93,,,,
100100,HUANUCO,HUÁNUCO,951.00,0.53,"69,197.09",21.10,"44,469.20",13.56,,,,
101000,HUANUCO,LAURICOCHA,"1,238.00",0.42,"8,514.36",33.66,"4,183.75",16.54,,,,
100600,HUANUCO,LEONCIO PRADO,315.00,0.50,"25,622.85",17.28,"14,708.86",9.92,,,,
100700,HUANUCO,MARAÑÓN,242.00,0.33,"11,848.21",37.60,"8,941.19",28.37,,,,
100800,HUANUCO,PACHITEA,369.00,0.27,"29,579.02",46.55,"19,647.90",30.92,,,,
100900,HUANUCO,PUERTO INCA,260.00,0.39,"10,280.44",23.64,"3,948.18",9.08,,,,
101100,HUANUCO,YAROWILCA,487.00,0.30,"14,715.94",43.26,"7,446.63",21.89,,,,
110200,ICA,CHINCHA,347.00,0.59,"7,862.51",3.13,46.11,0.02,,,,
110100,ICA,ICA,419.00,0.64,"13,442.12",3.20,113.49,0.03,,,,
110300,ICA,NASCA,181.00,0.61,"2,510.64",3.11,6.65,0.01,,,,
110400,ICA,PALPA,165.00,0.61,758.77,4.68,0.35,0.00,,,,
110500,ICA,PISCO,185.00,0.57,"6,084.73",3.68,639.04,0.39,,,,
120300,JUNIN,CHANCHAMAYO,551.00,0.48,"46,241.97",25.07,"7,468.92",4.05,,,,
120900,JUNIN,CHUPACA,130.00,0.51,"13,506.41",20.33,"2,719.80",4.09,,,,
120200,JUNIN,CONCEPCIÓN,241.00,0.45,"18,199.98",27.11,"5,576.63",8.31,,,,
120100,JUNIN,HUANCAYO,450.00,0.58,"78,569.87",12.80,"10,785.83",1.76,,,,
120400,JUNIN,JAUJA,470.00,0.50,"22,745.78",23.96,"5,537.78",5.83,,,,
120500,JUNIN,JUNÍN,521.00,0.43,"8,565.92",33.49,"2,890.58",11.30,,,,
120600,JUNIN,SATIPO,860.00,0.39,"73,428.17",35.49,"10,243.91",4.95,,,,
120700,JUNIN,TARMA,415.00,0.48,"23,393.91",22.78,"7,531.99",7.33,,,,
120800,JUNIN,YAULI,892.00,0.64,"5,488.67",12.78,838.26,1.95,,,,
130200,LA LIBERTAD,ASCOPE,175.00,0.58,"29,056.48",22.28,"2,451.15",1.88,,,,
130300,LA LIBERTAD,BOLÍVAR,261.00,0.29,"9,430.08",52.76,"7,395.80",41.38,,,,
130400,LA LIBERTAD,CHEPÉN,117.00,0.56,"24,725.09",26.69,"3,247.44",3.50,,,,
131100,LA LIBERTAD,GRAN CHIMÚ,320.00,0.37,"13,896.55",44.37,"7,410.94",23.66,,,,
130500,LA LIBERTAD,JULCÁN,182.00,0.22,"19,376.46",51.91,"18,164.54",48.67,,,,
130600,LA LIBERTAD,OTUZCO,477.00,0.28,"48,415.62",47.35,"28,295.11",27.67,,,,
130700,LA LIBERTAD,PACASMAYO,116.00,0.58,"26,833.12",24.34,"2,858.30",2.59,,,,
130800,LA LIBERTAD,PATAZ,649.00,0.39,"40,579.08",48.01,"27,036.56",31.99,,,,
130900,LA LIBERTAD,SÁNCHEZ CARRIÓN,663.00,0.29,"87,372.84",49.20,"49,222.15",27.72,,,,
131000,LA LIBERTAD,SANTIAGO DE CHUCO,250.00,0.35,"28,038.59",46.29,"15,283.48",25.23,,,,
130100,LA LIBERTAD,TRUJILLO,166.00,0.64,"159,530.85",14.53,"11,969.71",1.09,,,,
131200,LA LIBERTAD,VIRÚ,130.00,0.50,"35,245.59",33.21,"2,933.86",2.76,,,,
140100,LAMBAYEQUE,CHICLAYO,417.00,0.58,"109,214.89",11.75,"6,330.02",0.68,,,,
140200,LAMBAYEQUE,FERREÑAFE,362.00,0.42,"33,419.29",28.53,"19,393.78",16.56,,,,
140300,LAMBAYEQUE,LAMBAYEQUE,690.00,0.48,"85,976.02",24.99,"8,357.35",2.43,,,,
150200,LIMA,BARRANCA,186.00,0.63,"20,004.32",12.25,"1,298.88",0.80,,,,
150300,LIMA,CAJATAMBO,434.00,0.38,"2,467.63",31.63,"1,280.35",16.41,,,,
150400,LIMA,CANTA,383.00,0.57,"2,070.80",13.78,494.48,3.29,,,,
150500,LIMA,CANIETE,459.00,0.68,"37,168.39",14.28,"2,205.93",0.85,,,,
150600,LIMA,HUARAL,485.00,0.63,"25,610.41",12.28,"2,226.57",1.07,,,,
150700,LIMA,HUAROCHIRÍ,"1,148.00",0.55,"18,367.60",15.86,"3,716.74",3.21,,,,
150800,LIMA,HUAURA,658.00,0.65,"33,477.56",13.56,"3,118.27",1.26,,,,
150900,LIMA,OYÓN,331.00,0.58,"4,308.47",23.35,655.77,3.55,,,,
151000,LIMA,YAUYOS,"1,034.00",0.45,"6,911.57",25.40,"2,849.75",10.47,,,,
160200,LORETO,ALTO AMAZONAS,359.00,0.44,"55,050.48",35.99,"31,622.54",20.67,,,,
160700,LORETO,DATEM DEL MARAÑÓN,326.00,0.32,"35,646.30",44.83,"12,239.50",15.39,,,,
160300,LORETO,LORETO,294.00,0.36,"38,076.80",44.24,"13,011.14",15.12,,,,
160400,LORETO,MARISCAL RAMÓN CASTILLA,225.00,0.35,"35,825.64",43.94,"9,989.22",12.25,,,,
160100,LORETO,MAYNAS,670.00,0.56,"130,841.69",22.19,"28,614.99",4.85,,,,
160800,LORETO,PUTUMAYO,81.00,0.40,"4,787.45",43.71,"1,758.46",16.05,,,,
160500,LORETO,REQUENA,216.00,0.38,"38,176.91",47.70,"11,466.70",14.33,,,,
160600,LORETO,UCAYALI,204.00,0.40,"31,986.08",42.12,"11,691.89",15.40,,,,
170200,MADRE DE DIOS,MANU,85.00,0.59,"1,201.84",6.46,21.72,0.12,,,,
170300,MADRE DE DIOS,TAHUAMANU,44.00,0.64,619.15,5.27,30.74,0.26,,,,
170100,MADRE DE DIOS,TAMBOPATA,178.00,0.62,"7,484.42",5.14,208.61,0.14,,,,
180200,MOQUEGUA,GENERAL SÁNCHEZ CERRO,630.00,0.53,"3,303.70",20.51,"1,123.39",6.98,,,,
180300,MOQUEGUA,ILO,45.00,0.69,"5,141.41",6.00,269.32,0.31,,,,
180100,MOQUEGUA,MARISCAL NIETO,566.00,0.69,"7,737.94",8.09,"1,564.90",1.64,,,,
190200,PASCO,DANIEL ALCIDES CARRIÓN,828.00,0.37,"19,788.53",60.28,"10,421.12",31.74,,,,
190300,PASCO,OXAPAMPA,599.00,0.43,"38,355.17",33.80,"25,395.32",22.38,,,,
190100,PASCO,PASCO,"1,273.00",0.55,"43,494.24",29.95,"18,119.64",12.48,,,,
200200,PIURA,AYABACA,867.00,0.25,"85,256.36",55.68,"45,425.25",29.66,,,,
200300,PIURA,HUANCABAMBA,654.00,0.26,"67,154.97",49.24,"46,207.85",33.88,,,,
200400,PIURA,MORROPÓN,411.00,0.43,"66,123.62",35.20,"24,209.93",12.89,,,,
200500,PIURA,PAITA,46.00,0.55,"31,210.22",22.51,"4,753.51",3.43,,,,
200100,PIURA,PIURA,387.00,0.57,"197,217.27",23.01,"49,587.95",5.79,,,,
200800,PIURA,SECHURA,87.00,0.47,"24,636.75",28.14,"2,796.03",3.19,,,,
200600,PIURA,SULLANA,314.00,0.54,"77,159.73",21.94,"11,522.55",3.28,,,,
200700,PIURA,TALARA,37.00,0.58,"24,423.26",15.65,"2,634.22",1.69,,,,
210200,PUNO,AZÁNGARO,971.00,0.32,"56,385.74",41.41,"25,539.40",18.76,,,,
210300,PUNO,CARABAYA,"1,140.00",0.34,"33,182.76",49.31,"10,304.70",15.31,,,,
210400,PUNO,CHUCUITO,715.00,0.35,"40,035.09",48.58,"13,880.48",16.84,,,,
210500,PUNO,EL COLLAO,462.00,0.38,"29,355.43",41.10,"10,005.66",14.01,,,,
210600,PUNO,HUANCANÉ,749.00,0.32,"30,758.82",43.11,"12,836.48",17.99,,,,
210700,PUNO,LAMPA,"1,099.00",0.43,"22,802.28",47.60,"6,232.41",13.01,,,,
210800,PUNO,MELGAR,"1,175.00",0.43,"31,571.69",41.45,"11,884.67",15.60,,,,
210900,PUNO,MOHO,297.00,0.28,"13,110.73",47.93,"7,096.47",25.94,,,,
210100,PUNO,PUNO,"1,404.00",0.54,"66,487.64",27.15,"20,411.58",8.34,,,,
211000,PUNO,SAN ANTONIO DE PUTINA,257.00,0.50,"12,581.85",39.15,"3,011.17",9.37,,,,
211100,PUNO,SAN ROMÁN,262.00,0.56,"75,205.59",23.11,"16,087.34",4.94,,,,
211200,PUNO,SANDIA,597.00,0.41,"21,823.45",37.94,"6,297.18",10.95,,,,
211300,PUNO,YUNGUYO,244.00,0.37,"18,087.25",45.23,"5,959.59",14.90,,,,
220200,SAN MARTIN,BELLAVISTA,322.00,0.42,"20,302.85",31.52,"4,308.33",6.69,,,,
220300,SAN MARTIN,EL DORADO,150.00,0.33,"15,403.19",34.97,"6,416.36",14.57,,,,
220400,SAN MARTIN,HUALLAGA,183.00,0.41,"7,205.01",21.98,"3,173.03",9.68,,,,
220500,SAN MARTIN,LAMAS,342.00,0.36,"27,832.75",28.74,"15,684.14",16.20,,,,
220600,SAN MARTIN,MARISCAL CÁCERES,247.00,0.45,"18,157.79",24.27,"3,698.77",4.94,,,,
220100,SAN MARTIN,MOYOBAMBA,281.00,0.49,"32,127.44",21.80,"8,157.79",5.54,,,,
220700,SAN MARTIN,PICOTA,221.00,0.44,"15,512.54",32.21,"4,446.48",9.23,,,,
220800,SAN MARTIN,RIOJA,195.00,0.47,"44,424.18",29.33,"5,793.14",3.82,,,,
220900,SAN MARTIN,SAN MARTÍN,304.00,0.61,"32,736.27",15.34,"15,091.33",7.07,,,,
221000,SAN MARTIN,TOCACHE,265.00,0.51,"17,446.57",20.59,"5,757.54",6.79,,,,
230200,TACNA,CANDARAVE,190.00,0.37,"1,971.81",26.88,"1,037.76",14.15,,,,
