"PROVINCIA","ElevacionPromedio","IDH_2019","FallMasc_1ola_mill_hab","FallFem_1ola_mill_hab","CasosMasc_1ola_mill_hab","CasosFem_1ola_mill_hab","Adult_15_64_mill_hab","Mayores_65_mill_hab","Pobreza_mill_hab","PobrezaExt_mill_hab","UCI_1ola_cant_hosp","UCIN_1ola_cant_hosp","VENT_1ola_cant_hosp"
"ABANCAY",3100,0.52,749.313129631171,527.294424555269,11702.2359133757,13774.4104940841,691505.009297033,85662.2170417858,265579.330058557,84670.1634612716,8.66666666666667,78,8.66666666666667
"ACOBAMBA",3300,0.31,370.915295310394,123.638431770131,3090.96079425329,4030.61287570628,303371.620034372,44262.5585737071,247370.705109976,94642.3758361049,0,6,0
"ACOMAYO",3800,0.3,353.369377009788,353.369377009788,2120.21626205873,1908.19463585286,512915.650729708,96929.2201137849,386451.818085445,134761.652355207,0,0,0
"AIJA",2800,0.37,252.047889098929,0,5923.12539382483,3780.71833648393,491115.311909263,116824.196597354,323040.957781979,130509.13673598,0,0,0
"ALTO AMAZONAS",1200,0.44,1211.22670794998,754.008679121179,8037.41166467469,6072.17627760354,616666.800356149,54577.3941780904,441580.209678584,253656.059743156,3,33.5,3
"AMBO",3300,0.38,323.041349292709,255.032644178455,3111.39825897715,3621.46354733406,552961.779107726,96079.2981501632,357757.242927095,239162.642818281,0,0,0
"ANDAHUAYLAS",3000,0.42,245.575260046659,216.340110041105,3666.08781069656,3391.27740064434,537657.796722155,75841.8261444099,360261.01141925,132971.460646565,2.25,28.5,2.5
"ANGARAES",3600,0.33,599.409811877536,307.389647116685,5071.9291774253,4902.86487151113,474210.00860691,66795.7703184557,422513.678839297,147335.700233616,0,11,0
"ANTA",3714.285714,0.39,538.69011416755,434.427511425444,3649.19109597373,3770.83079917285,670877.717344084,105131.457764957,340408.535631744,67750.5343458391,0,0,0
"ANTABAMBA",4000,0.32,220.135016143235,73.3783387144115,2641.62019371881,3375.40358086293,514455.532726739,113296.154975051,312918.990314059,267847.079542119,0,0,0
"ANTONIO RAYMONDI",3300,0.32,59.8014591556034,179.40437746681,1554.83793804569,1554.83793804569,463820.11721086,100825.260136347,400240.999880397,207455.447912929,0,0,0
"AREQUIPA",3010.714286,0.67,1973.45452178493,1582.90580083199,16612.1279185134,16734.4209523471,766670.808850071,96056.2469056904,77898.956367029,10833.0917059681,4.72727272727273,69,4.81818181818182
"ASCOPE",1300,0.58,2158.08570683236,1573.11009399135,9193.60321262283,7731.16418052031,601742.278717164,102347.017019628,229693.678310843,19376.5266677734,0.666666666666667,19.3333333333333,0.666666666666667
"ASUNCION",4218.75,0.39,222.990299921953,0,1783.92239937563,1337.94179953172,503512.097223771,127438.956405396,314144.274724049,73448.544988293,0,0,0
"ATALAYA",1100,0.33,444.254895688951,319.863524896044,3696.20073213207,4442.54895688951,546007.036997548,27863.667057611,404005.046735615,77308.5261399581,0,0,0
"AYABACA",2000,0.25,392.653927228139,199.771296309053,3327.22538335423,3451.22136037364,482702.561205792,79433.2006117135,587302.536406597,312919.347505614,0,1,0
"AYMARAES",3500,0.36,476.545048399106,268.056589724497,3812.36038719285,3574.0878629933,447565.152643336,117110.94564408,310590.915860015,136032.762472077,0,0,0
"AZANGARO",4500,0.32,246.130477282157,133.613687667457,3080.14711570242,2651.17685529638,501473.266714017,88986.7159865261,396521.402803075,179600.706042855,0,12,0
"BAGUA",1900,0.46,2135.24047181097,1183.38628558198,40080.7789768854,50538.3121309957,639813.230773189,61613.264216714,440002.82983677,291307.899103456,0,19.5,0
"BARRANCA",1400,0.63,1949.17980057896,1254.42264393696,11817.3045995497,13361.2093920875,642444.515921518,97883.5638468961,128686.522997748,8355.61273721454,0,31,0
"BELLAVISTA",1300,0.42,773.694390715667,402.965828497743,6189.55512572534,9252.09542230819,566827.852998066,50064.4745325596,327254.190844616,69444.3907156673,0,0,0
"BOLIVAR",2700,0.29,0,57.1037003197807,456.829602558246,285.518501598904,497316.12608497,71265.4179990863,538492.462311558,422327.546825034,0,12,0
"BOLOGNESI",3211.538462,0.45,358.10205908684,119.367353028947,2894.65831095195,3342.2858848105,460190.987764846,90898.2393315428,207831.393613847,36739.7791703969,0,0,0
"BONGARA",2100,0.41,321.027287319422,291.842988472202,3852.32744783307,4377.64482708303,499314.16897709,65752.2253027871,285219.320005837,92156.4278418211,0,0,0
"CAJABAMBA",2700,0.35,469.309620847227,209.954304063233,3322.21810547116,3124.61405458812,571705.569964184,83240.7064344819,582829.566506113,474936.396196122,0,8,0
"CAJAMARCA",2500,0.54,1082.73195744659,541.365978723296,10865.6237710737,10444.2776083881,609629.164304574,66539.4967339288,346342.434410447,162141.996210438,5,38.75,5.875
"CAJATAMBO",3312,0.38,1324.18442277597,3731.79246418683,1444.56482484651,2648.36884555194,480678.945467678,132899.963885879,297054.291561334,154129.04779102,0,0,0
"CALCA",3200,0.39,197.753520012656,171.386384010969,1595.21172810209,1608.39529610294,581461.266677213,74988.1347887992,343746.90186152,74114.0642303433,0,0,0
"CALLAO",300,0.64,3161.59634393598,1523.67217167768,14228.12003952,12696.0194415699,658949.349840562,81432.6451679364,181411.20887045,5369.72228335433,10.2857142857143,249.785714285714,10.2857142857143
"CAMANA",1300,0.62,482.633246995608,659.598770893998,9459.61164111392,8494.3451471227,663234.608021365,75950.3853022089,139487.765247189,13789.7971331585,0,19,0
"CANAS",4300,0.26,124.501992031873,124.501992031873,1718.12749003984,1045.81673306773,535059.760956175,92380.4780876494,512696.962151394,102860.806772908,0,0,0
"CANCHIS",4523.076923,0.47,593.602496960181,402.117820521413,5246.68013442224,5533.9071490804,643809.779122426,87460.6259634073,309939.203615231,49172.5947131081,0,37.5,0
"CANDARAVE",3714.285714,0.37,590.179414542021,0,8144.47592067989,7436.26062322946,501416.430594901,111779.981114259,232744.33427762,122492.917847025,0,0,0
"CANGALLO",3800,0.33,425.447428879372,141.815809626457,2439.23192557506,3063.22148793147,547692.656777378,114587.174178177,500828.204328219,335519.754942281,0,19,0
"CANIETE",1900,0.68,2094.21971148996,1323.51457681832,11322.505800464,10745.4857258146,655821.648340563,80835.2668213457,149978.371834964,8901.16009280742,2.33333333333333,66.6666666666667,2.66666666666667
"CANTA",2900,0.57,1121.00641464782,871.893878059413,10151.3358659775,9777.66706109485,491685.869091362,105250.046708601,128965.560191817,30795.2917730585,0,0,0
"CARABAYA",3010.714286,0.34,171.471223094148,80.692340279599,2350.16441064332,1946.70270924532,506465.473764903,43452.825240564,334699.320167033,103938.794859898,3,23,3
"CARAVELI",2400,0.62,406.678565780258,587.424595015928,8269.13083753191,7275.02767673573,651747.588170172,70129.45934344,104238.720318113,17632.9048146224,0,0,0
"CARHUAZ",4117.647059,0.41,395.594328426576,395.594328426576,5059.44325303462,5496.67908971663,628870.057673489,105457.119656874,338595.223719003,120880.926107144,0,6,0
"CARLOS FERMIN FITZCARRALD",3300,0.31,224.537452847135,179.629962277708,898.14981138854,1526.85467936052,463669.840129334,119588.647386384,383217.621699299,159357.373809952,0,0,0
"CASMA",2300,0.56,1630.8498998782,867.03412398588,8567.12289176524,8071.67482091617,696104.539542949,91575.3184286039,205764.331867633,32725.3772630623,0,15,0
"CASTILLA",3010.714286,0.57,415.099868144748,293.011671631587,5664.89231821068,5054.45133564487,562264.980221712,92567.2705962788,160909.068711237,63580.358450945,0,14,0
"CASTROVIRREYNA",2900,0.4,253.678335870117,50.7356671740233,4667.68138001015,4160.32470826991,428868.594622019,104464.738711314,350973.61745307,147504.819888382,0,0,0
"CAYLLOMA",2910.344828,0.59,667.637776159262,829.489358258477,8234.19923929756,8011.65331391114,625020.231447762,71862.1024520515,182825.625151736,65199.4820749373,0,14,2
"CELENDIN",2400,0.32,228.040715633228,155.482306113564,1917.61510873396,1907.24962165972,517693.886435724,83929.348840102,591425.980056803,418040.819288098,0,4,0
"CHACHAPOYAS",2600,0.54,735.294117647059,269.010043041607,15405.3084648494,16212.3385939742,705864.418938307,96395.2654232425,229499.641319943,121917.682926829,6,37.5,6.5
"CHANCHAMAYO",2600,0.48,1143.17287631822,476.322031799259,6730.43030932353,7197.2259004868,510417.16283545,47646.4928408799,220260.691048004,35576.1114974612,1.66666666666667,22.6666666666667,1.66666666666667
"CHEPEN",800,0.56,2406.42296165037,1214.1497670145,12196.1891010916,12841.5479862615,579171.315438297,86664.0414779812,270450.110476691,35521.4281026449,0,31.5,0
"CHICLAYO",1300,0.58,2223.42291832453,1308.95970483976,9927.97330536063,9970.92707805831,615750.244158287,84365.7310279968,123452.409480576,7155.21684873038,4.14285714285714,35.1428571428571,4.21428571428571
"CHINCHA",2500,0.59,3351.01679929266,1914.23519009726,11003.5366931919,11856.7639257294,671909.814323607,82820.5128205128,34759.1069849691,203.846153846154,1.14285714285714,30.4285714285714,1.14285714285714
"CHINCHEROS",3000,0.34,267.867606435519,100.45035241332,2193.16602769081,2544.74226113743,458338.216336576,86504.4951532705,391351.392074467,185003.264636453,0,6,0
"CHOTA",2200,0.36,186.592992530261,138.439962199871,2684.53144091924,2600.26363784106,559189.102969236,98310.4305482824,595049.928673324,300731.745487158,0,20,0
"CHUCUITO",4425,0.35,268.961807423346,64.0385255769871,2036.42511334819,1761.05945336715,393145.316222239,71441.3791336868,256378.813494198,88888.5473500858,0,26,0
"CHUMBIVILCAS",4000,0.34,71.2123909560264,47.4749273040176,1507.32894190256,1234.34810990446,507554.447807252,80339.4457302237,466639.724645422,117385.318378731,0,20,0
