"PROVINCIA","ElevacionPromedio","IDH_2019","FallMasc_2ola_mill_hab","FallFem_2ola_mill_hab","CasosMasc_2ola_mill_hab","CasosFem_2ola_mill_hab","Adult_15_64_mill_hab","Mayores_65_mill_hab","Pobreza_mill_hab","PobrezaExt_mill_hab","UCI_2ola_cant_hosp","UCIN_2ola_cant_hosp","VENT_2ola_cant_hosp"
"DOS DE MAYO",3100,0.39,1022.12163247426,383.295612177849,1660.94765277068,2062.495436957,371230.926480251,60597.2110681171,301078.885887421,156722.822515879,0,0,0
"EL COLLAO",4620,0.38,1119.44095797008,316.609563870326,1469.97297511223,1096.8259891222,507378.133586621,101462.057736015,331936.067483067,113138.844601242,0,10,0
"EL DORADO",1200,0.33,282.612279503544,400.367395963355,5416.73535715127,6853.34777796095,566637.620404607,55250.7006429429,362760.886460517,151111.843809614,0,0,0
"ESPINAR",4500,0.46,735.533332390342,424.34615330212,3861.54999504929,3140.16153443569,556770.442875935,70059.5499101801,294792.84835283,49505.9196288386,0,17,2.5
"FERREÑAFE",2000,0.42,1773.01740284774,927.424487643433,1291.12036515066,1300.21276208834,555363.604953538,80422.2509137859,303861.450055464,176335.945882053,0,41.5,0
"GENERAL SANCHEZ CERRO",3000,0.53,813.752415827485,372.969857254264,5628.45420947343,3967.04302715899,339097.412945445,93717.1532227986,112016.410673719,38090.0552673516,0,0,0
"GRAN CHIMU",2300,0.37,639.386189258312,243.575691146024,2587.9917184265,2374.86298867373,517172.086225795,86012.6659359396,423107.721349409,225640.604067714,0,9,0
"GRAU",3700,0.3,1287.52207180695,698.940553266627,3016.48028251913,1765.74455562095,478921.424367275,104546.792230724,423232.416127134,198594.761624485,0,0,0
"HUACAYBAMBA",2600,0.32,639.059304703477,298.227675528289,3749.14792092706,4601.22699386503,420160.190865712,65397.0688479891,440201.51670075,272941.376959782,0,0,0
"HUALGAYOC",3000,0.37,716.762557873733,445.555103543132,4445.86505491951,5666.29859940722,523139.807442707,78853.5673466225,502240.754731601,245144.708548846,0,15,0
"HUALLAGA",1700,0.41,975.646365717288,600.397763518331,8555.66813013622,12045.4801305865,661563.285676761,76850.9137303464,270366.993132951,119067.507223536,0,0,0
"HUAMALIES",2800,0.38,695.965974996778,373.759505090862,2332.77484211883,2590.54001804356,411805.645057353,69145.5084418095,324522.361129011,156389.354298234,0,0,0
"HUAMANGA",3400,0.49,1365.50627441491,753.621184360632,3301.41390396515,4860.51094133508,664980.8137726,69409.2024751962,262020.085041657,125448.473744253,8.5,73.25,9.75
"HUANCA SANCOS",3800,0.38,741.564701520208,463.47793845013,3985.91027067112,3893.21468298109,477753.058954394,104560.622914349,406488.691138302,252429.551353356,0,0,0
"HUANCABAMBA",2000,0.26,597.028634411812,283.205890682526,497.523862009843,375.056449822805,511355.025373717,84739.7950201688,514018.461962387,353684.738264177,1.5,2,0
"HUANCANE",4500,0.32,935.106572463338,371.074036691801,1721.78353024996,1751.4694531853,548120.881078193,150403.728551921,456551.98005106,190531.378020543,0,18,0
"HUANCAVELICA",3800,0.43,1207.4999846764,833.604050334974,2776.63702060105,2574.36544956389,451635.641476705,65511.4712498544,287794.504342709,89897.1479708484,6,30.3333333333333,7
"HUANCAYO",3200,0.58,2841.40845777775,1491.20824568622,7600.91249582288,10774.5590601525,716061.973996573,89822.1173998119,151766.888609448,20834.091492966,6,42.3529411764706,5.82352941176471
"HUANTA",2700,0.39,1006.25821998217,600.224201392873,1827.15308365183,2692.18207977686,525337.405442621,57983.4232198498,404758.012551747,248883.406448879,0,29.5,0
"HUANUCO",2600,0.53,1913.42907785871,1136.78356016811,4027.28280544403,5402.07063716249,624407.338047488,69813.5424430512,216700.039458603,139261.309900351,7.375,53.375,7.375
"HUARAL",2600,0.63,2315.93501555479,1515.9745197768,3915.85600711076,9999.50619722483,647508.764999259,86030.3194903955,126464.915312824,10994.8644511382,3.5,21.5,4.75
"HUARAZ",3111.111111,0.56,2258.47811511181,1117.47615070636,4340.5126274805,7816.45160151977,674455.671485537,89574.5356592521,155716.713914342,33503.7582487384,7,68.5,7.5
"HUARI",3915.789474,0.42,979.767033172112,559.86687609835,2083.94892769941,2426.08979642618,589913.065115628,102300.119749304,373627.004245657,96168.1777888369,0,5.5,0
"HUARMEY",2400,0.57,3156.78709224833,1562.4501769714,6855.64873569083,11893.7533879659,644749.848537993,91897.5797965626,159513.727240841,31106.4698192022,0,18,1
"HUAROCHIRI",3010.714286,0.55,2223.98912204284,1394.31442366417,2293.12868024107,5438.97857826022,467901.960106475,77563.0610387066,211654.62486028,42828.9602562773,0,11,0
"HUAURA",2600,0.65,2868.99679600058,1567.64046488056,2499.63493304243,7417.30159684582,682988.738758085,99212.3143527148,143782.952661553,13392.6746093784,6,69,6
"HUAYLAS",3412.5,0.41,1302.98818624044,1129.25642807505,3596.24739402363,6514.94093120222,581306.462821404,94788.0472550382,390682.592077832,187848.332175122,0,35,0
"HUAYTARA",3000,0.4,971.694127587664,718.208702999578,2534.85424588086,2196.87367976341,453316.434305027,120025.348542459,297002.534854246,217763.836079425,0,0,0
"ICA",1800,0.64,3292.65930660469,2300.35102242245,4738.67004157613,8909.54871198915,712625.928962401,91027.0390741286,35665.0455427051,301.115152865887,5.63636363636364,56.4545454545455,5.90909090909091
"ILO",900,0.69,3504.3396764598,1833.66610977548,17250.0441438138,18988.6312701194,707278.975320213,85408.0925797645,69834.290914524,3658.09597544246,2.33333333333333,41,2.66666666666667
"ISLAY",1500,0.63,3332.2467311384,2064.54417037922,5577.89126734036,3911.76790177116,670161.903727046,112318.446883263,110500.199210402,11535.9122025426,4,53,4
"JAEN",2100,0.49,1369.8357193381,752.164340436554,4577.74191298804,4268.90622353726,624615.200693386,69771.9597118862,451906.861133527,184553.682616536,1.2,27.8,2.2
"JAUJA",3300,0.5,3027.38566109519,1774.6743530558,12260.3319684966,15136.928305476,634219.897231276,122765.70818786,263832.368668298,64233.700254022,7,39,6
"JORGE BASADRE",2100,0.68,1479.44626439818,528.373665856494,9827.75018493078,7714.25552150481,900348.726619465,73866.6384867378,93573.9194758533,6183.02863785269,0,9,1
"JULCAN",2800,0.22,489.191916103586,366.89393707769,1100.68181123307,2812.85351759562,535298.254196349,87718.2254563243,592425.474669031,555371.632983765,0,0,0
"JUNIN",2900,0.43,2517.64257104711,1487.69788289147,7591.07381270265,10108.7163837498,570398.626740416,102117.108525653,326756.437154301,110264.35246996,1,27,1
"LA CONVENCION",3010.714286,0.45,1196.276318079,706.890551592135,7237.47172437794,7460.41412911084,601694.36227597,63457.0210544632,297158.082477814,39042.6526883591,0,22.75,0.75
"LA MAR",2600,0.33,468.521867985792,555.688727145939,2571.42234522435,3018.1524984201,518087.123275731,54250.4739697967,438981.455250714,244640.763581686,1,15,1
"LA UNION",3312,0.36,1029.33607822954,965.002573340196,6304.68347915594,5790.01544004117,506690.684508492,113612.969634586,373010.164693773,240714.745239321,0,0,0
"LAMAS",1100,0.36,615.467251547061,593.086624218077,3670.42288195338,5270.63773597574,581784.40741694,68059.4877074404,311457.20264539,175510.446157806,0,10,0
"LAMBAYEQUE",2000,0.48,1323.24400619474,803.74821117014,2884.99866041965,3273.80368940033,627720.818385577,77551.9005704652,280906.797880196,27305.71183993,0,0,0
"LAMPA",4600,0.43,989.74770770696,466.862126276868,1363.23740872845,1624.6801994435,520028.385217278,84147.2296401427,425820.83699042,116387.047377169,0,4,0
"LAURICOCHA",4523.076923,0.42,729.963753523963,151.026983487716,1082.36004832863,729.963753523963,307566.451872735,46868.7072090213,214316.351188079,105309.857027789,0,0,0
"LEONCIO PRADO",2000,0.5,1232.83714573544,584.717046263095,1106.03103931694,1535.76284440186,609127.221748656,53300.8333979105,180507.435769185,103620.73702527,10.6666666666667,48.3333333333333,10.6666666666667
"LIMA",1400,0.73,2925.45633512376,1676.84140824219,3534.53420772337,6767.43790795341,671143.954851878,83356.204159857,141995.670565759,4485.96241971547,8.03191489361702,53.8563829787234,8.94148936170213
"LORETO",200,0.36,379.090453690039,67.6947238732213,3520.12564140751,5388.50002030842,483949.580969659,43419.3958922842,515519.692395175,176157.105915165,0,0,0
"LUCANAS",2700,0.43,1070.95046854083,620.023955471007,2987.38814908758,4001.97280349468,457281.758613401,105460.438244205,286690.622137673,134608.046219968,2,15,4
"LUYA",2200,0.34,706.781279847182,477.554918815664,3323.78223495702,2865.32951289398,537650.429799427,93677.1728748806,469666.857688634,243842.788920726,0,0,0
"MANU",2100,0.59,721.007893139041,227.686703096539,5426.53309046752,4971.15968427444,534190.95324833,20036.4298724954,45607.1645415908,824.225865209472,0,0,0
"MARAÑON",2600,0.33,454.380225372592,333.212165273234,969.344480794863,1454.01672119229,506058.403004968,55010.2992851084,358906.155337453,270846.661819944,0,0,0
"MARISCAL CACERES",2400,0.45,1182.98751290959,619.660125809783,1858.98037742935,1802.64763871937,783794.948831096,70678.8095014553,340959.346540231,69453.9479861046,4.66666666666667,22,2.66666666666667
"MARISCAL LUZURIAGA",3500,0.28,990.998430919151,371.624411594682,1569.08084895532,1899.41365926171,509042.860682137,96870.096622347,510440.581385746,164543.727805764,0,0,0
"MARISCAL NIETO",3000,0.69,1768.3465959328,907.751252578839,9171.82434423814,7226.64308871205,717701.149425287,89537.2826407309,91222.3990568818,18448.5705865016,10.25,312.5,12
"MARISCAL RAMON CASTILLA",100,0.35,568.745453343033,277.759407446597,3121.48667416176,4020.89808875074,400581.972091793,32881.4231862972,473852.787514053,132123.80133589,0,15,0
"MAYNAS",300,0.56,1073.69124207191,746.68755759724,2654.50049750026,4576.3028998407,559193.787279732,62466.4471486852,228800.613437928,50038.5409690151,5.125,36.375,6.375
"MELGAR",4700,0.43,1012.32284350239,549.903766840803,1862.17411952908,1199.79003674357,556452.620791362,83097.957857375,394577.074012048,148532.381833179,0,14,0
"MOHO",4300,0.28,566.679259539101,75.5572346052135,906.686815262561,755.572346052134,453910.08689082,163128.069512656,495305.251227805,268094.82432943,0,0,0
"MORROPON",1900,0.43,2214.3434720408,1299.99377993407,1492.81582384773,1405.73490078995,631921.378366611,106213.845866766,411293.276108727,150587.360826025,0,11.75,0
"MOYOBAMBA",1600,0.49,994.112289793353,557.985607819495,4688.36183121897,7722.00772200772,519619.287061148,49211.765158609,206053.438345797,52321.0277196988,11.5,35,14
"NAZCA",1500,0.61,4437.09476717532,2226.73390529832,4224.24520269828,4387.97563691139,781501.735542603,90149.9770777392,41106.8177352806,108.880738751719,3.5,30.5,3.5
"OCROS",2600,0.47,818.107444777747,454.504135987637,5090.44632306154,3726.93391509863,410235.433142442,103717.843832379,171304.426870285,48001.0908099264,0,0,0
"OTUZCO",2400,0.28,591.341515286697,363.10443921113,2344.61723604901,3340.56084074239,517652.062951935,81563.6314593686,502283.615690262,293545.144256206,0,12,0
"OXAPAMPA",2700,0.43,1700.78674429767,1241.67866608235,9609.96681900707,12541.9979548822,606586.114067489,66727.1854587951,400208.372461863,264981.740019616,4.33333333333333,88.6666666666667,5
"OYON",3300,0.58,1198.44615257459,950.49177617985,2066.28646995619,3140.75543433342,500537.234482189,64592.1150508306,178050.665344243,27100.1735680635,0,0,0
"PACASMAYO",1200,0.58,2361.90197191351,1327.42552685061,3396.3784169764,4970.9797315854,617719.757584635,97249.9404947178,245648.058296867,26166.7612648077,0,7.5,0
"PACHITEA",2900,0.27,364.790920759306,121.596973586435,472.877119502804,810.646490576235,422144.159967574,44409.9169087347,399635.479294738,265458.353036547,0,0,0
"PADRE ABAD",1200,0.44,1128.0861213176,435.118932508219,4705.73067749629,6156.12711919036,686923.870302327,40256.5590150197,132868.07838587,13681.2673241797,0,25,0
"PAITA",200,0.55,1806.37456146899,1246.54773456744,2903.63514219601,4478.61461521236,633918.041352542,61700.3806822423,232964.245726655,35481.8989325969,0,44.5,0
"PALLASCA",2700,0.33,1219.16006288299,384.997914594629,1764.57377522538,2277.90432801822,450030.479001572,88164.5224421701,463818.858481183,102045.301421284,0,0,0
